cognome,nome,classe,disciplina,data_valutazione,voto,tipo
Stefanelli,Amadeo,4BIT,Scienze Motorie e Sportive,2024-04-30,7.6,orale
Ricci,Rita,3BIT,Religione Cattolica,2024-02-08,5.0,orale
Monduzzi,Loredana,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-02-17,8.4,orale
Cipolla,Federica,3BIT,Storia,2024-03-04,4.0,scritto
Palmisano,Allegra,5CIT,Informatica,2024-02-28,3.7,orale
Esposito,Maurilio,3BIT,Scienze Motorie e Sportive,2023-12-23,7.9,pratico
Stefanelli,Amadeo,4BIT,Lingua Inglese,2024-04-13,4.5,orale
Matteotti,Patrizia,3BIT,Sistemi e Reti,2023-10-23,7.8,pratico
Boito,Carla,5CIT,Lingua e Letteratura Italiana,2023-12-19,5.6,scritto
Antonelli,Maura,3BIT,Scienze Motorie e Sportive,2023-10-17,4.3,pratico
Palmisano,Allegra,5CIT,Sistemi e Reti,2024-02-04,5.5,scritto
Ceri,Augusto,4BIT,Matematica,2023-11-08,4.5,orale
Nicoletti,Roberta,3BIT,Matematica,2023-09-19,6.6,pratico
Pennetta,Griselda,5CIT,Gestione Progetto e Organizzazione d'Impresa,2024-04-20,5.5,orale
Caffarelli,Luca,4BIT,Religione Cattolica,2024-04-28,6.4,scritto
Benussi,Giorgio,4BIT,Lingua e Letteratura Italiana,2023-11-22,6.0,scritto
Alighieri,Gabriele,5CIT,Religione Cattolica,2024-04-14,4.6,orale
Bongiorno,Simone,3BIT,Informatica,2024-03-01,6.3,pratico
Monaco,Graziano,3BIT,Storia,2024-02-23,7.1,orale
Trentini,Matilda,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-01-26,8.5,pratico
Antonelli,Maura,3BIT,Informatica,2024-06-05,7.6,pratico
Bajardi,Arturo,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-01-02,9.0,pratico
Satriani,Fulvio,4BIT,Storia,2024-05-22,8.0,scritto
Antonelli,Maura,3BIT,Informatica,2024-04-23,6.0,pratico
Matteotti,Patrizia,3BIT,Matematica,2023-10-23,6.7,orale
Petrocelli,Manuel,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-04-24,3.2,scritto
Pennetta,Griselda,5CIT,Sistemi e Reti,2024-02-01,9.1,pratico
Satriani,Fulvio,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-05-22,6.6,scritto
Taliani,Maurizio,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-05-13,8.3,scritto
Benedetti,Sophia,3BIT,Informatica,2023-11-14,9.2,scritto
Petrocelli,Anita,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-10-11,5.3,orale
Zaccardo,Sandro,5CIT,Lingua Inglese,2023-09-24,9.0,scritto
Monaco,Graziano,3BIT,Scienze Motorie e Sportive,2024-02-14,5.4,pratico
Matteotti,Patrizia,3BIT,Religione Cattolica,2023-11-06,9.3,orale
Mezzetta,Marcello,4BIT,Lingua e Letteratura Italiana,2024-01-09,7.7,scritto
Forza,Hugo,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-09-28,5.8,pratico
Monaco,Graziano,3BIT,Lingua e Letteratura Italiana,2023-12-04,5.2,orale
Anichini,Marcella,5CIT,Lingua e Letteratura Italiana,2023-11-09,9.6,scritto
Ovadia,Telemaco,5CIT,Matematica,2023-12-25,8.9,scritto
Fantoni,Alphons,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-12-30,9.4,scritto
Marrone,Lisa,3BIT,Informatica,2023-11-01,8.9,pratico
Rensi,Michelangelo,3BIT,Lingua Inglese,2024-05-01,6.4,orale
Stefanelli,Amadeo,4BIT,Informatica,2023-09-20,7.4,scritto
Palmisano,Allegra,5CIT,Scienze Motorie e Sportive,2024-01-15,6.2,scritto
Simeoni,Mirco,4BIT,Sistemi e Reti,2024-02-08,7.1,scritto
Campise,Liberto,3BIT,Sistemi e Reti,2024-01-12,4.3,orale
Blasi,Mirko,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-02-13,8.6,orale
Bongiorno,Simone,3BIT,Lingua e Letteratura Italiana,2023-10-31,9.7,scritto
Manolesso,Laura,3BIT,Storia,2024-01-13,3.3,orale
Pezzali,Saverio,5CIT,Matematica,2024-01-19,5.1,scritto
Cafarchia,Alessandro,3BIT,Informatica,2024-04-27,9.4,orale
Maderna,Laureano,5CIT,Lingua Inglese,2024-05-24,5.0,pratico
Anichini,Marcella,5CIT,Sistemi e Reti,2024-05-10,9.7,pratico
Boito,Carla,5CIT,Scienze Motorie e Sportive,2024-02-10,8.6,pratico
Sgarbi,Fortunata,5CIT,Scienze Motorie e Sportive,2024-01-04,5.0,pratico
Benussi,Giorgio,4BIT,Religione Cattolica,2024-06-03,7.2,scritto
Esposito,Maurilio,3BIT,Religione Cattolica,2024-04-07,8.4,orale
Monaco,Graziano,3BIT,Sistemi e Reti,2024-02-20,7.5,scritto
Crespi,Damiano,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-11-16,7.1,orale
Pezzali,Saverio,5CIT,Storia,2023-11-15,5.8,pratico
Fantoni,Alphons,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-12-16,3.0,orale
Carocci,Emma,5CIT,Gestione Progetto e Organizzazione d'Impresa,2024-05-31,6.3,pratico
Carocci,Emma,5CIT,Matematica,2023-12-17,5.6,scritto
Florio,Veronica,5CIT,Scienze Motorie e Sportive,2024-02-27,5.9,pratico
Gemito,Ludovico,3BIT,Scienze Motorie e Sportive,2024-04-27,9.7,pratico
Monduzzi,Loredana,5CIT,Storia,2023-10-19,8.4,pratico
Zabarella,Fedele,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-06-02,8.7,scritto
Taliani,Maurizio,4BIT,Matematica,2024-03-01,4.6,pratico
Forza,Hugo,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-05,7.4,scritto
Crespi,Damiano,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-02-22,9.1,orale
Fantoni,Alphons,5CIT,Scienze Motorie e Sportive,2024-04-12,7.1,pratico
Staglieno,Pierluigi,5CIT,Lingua e Letteratura Italiana,2024-02-12,7.9,pratico
Matteotti,Patrizia,3BIT,Scienze Motorie e Sportive,2024-03-19,6.9,pratico
Benedetti,Sophia,3BIT,Matematica,2023-12-20,7.8,orale
Caffarelli,Luca,4BIT,Lingua e Letteratura Italiana,2023-10-19,9.0,pratico
Marrone,Lisa,3BIT,Sistemi e Reti,2023-10-14,6.7,scritto
Pedrazzini,Atenulf,5CIT,Gestione Progetto e Organizzazione d'Impresa,2024-04-23,4.9,scritto
Lippomano,Alessandro,4BIT,Storia,2024-04-29,7.8,scritto
Caffarelli,Luca,4BIT,Matematica,2024-05-18,9.1,orale
Soranzo,Raffaellino,4BIT,Sistemi e Reti,2023-12-24,8.4,orale
Pennetta,Griselda,5CIT,Lingua Inglese,2023-12-02,3.6,scritto
Peranda,Alina,3BIT,Matematica,2024-03-14,6.5,pratico
Cafarchia,Alessandro,3BIT,Gestione Progetto e Organizzazione d'Impresa,2023-11-16,4.1,pratico
Blasi,Mirko,4BIT,Matematica,2024-06-02,7.0,orale
Roero,Alberto,4BIT,Storia,2023-11-17,9.0,scritto
Pontecorvo,Mirko,5CIT,Gestione Progetto e Organizzazione d'Impresa,2023-10-29,7.0,scritto
Alighieri,Gabriele,5CIT,Religione Cattolica,2024-05-22,6.5,scritto
Forza,Hugo,3BIT,Lingua e Letteratura Italiana,2024-05-28,6.9,pratico
Tamburini,Gemma,4BIT,Sistemi e Reti,2024-05-27,7.1,scritto
Bajamonti,Tonino,3BIT,Religione Cattolica,2024-02-22,5.1,orale
Monte,Berenice,3BIT,Storia,2024-05-18,8.4,pratico
Rubbia,Domenico,3BIT,Storia,2023-12-25,9.5,orale
Nicoletti,Roberta,3BIT,Religione Cattolica,2023-09-16,7.2,pratico
Carfagna,Zaira,4BIT,Gestione Progetto e Organizzazione d'Impresa,2023-12-02,6.9,pratico
Staglieno,Pierluigi,5CIT,Sistemi e Reti,2023-12-19,9.7,scritto
Bongiorno,Simone,3BIT,Informatica,2024-05-14,5.0,scritto
Pennetta,Griselda,5CIT,Informatica,2023-12-22,4.0,orale
Mezzetta,Marcello,4BIT,Lingua Inglese,2023-09-20,7.6,scritto
Bajardi,Arturo,5CIT,Sistemi e Reti,2024-05-22,5.8,orale
Esposito,Maurilio,3BIT,Matematica,2024-01-22,6.8,scritto
Simeoni,Mirco,4BIT,Informatica,2024-02-12,3.7,orale
Lippomano,Alessandro,4BIT,Matematica,2023-11-24,7.2,scritto
Ovadia,Telemaco,5CIT,Lingua e Letteratura Italiana,2024-03-05,4.0,pratico
Blasi,Mirko,4BIT,Storia,2023-09-18,7.2,orale
Cimini,Tatiana,5CIT,Religione Cattolica,2024-03-01,5.0,pratico
Bajardi,Arturo,5CIT,Gestione Progetto e Organizzazione d'Impresa,2024-02-07,9.8,scritto
Pontecorvo,Mirko,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-12-08,4.5,pratico
Fantoni,Alphons,5CIT,Scienze Motorie e Sportive,2023-12-22,3.3,scritto
Pavanello,Marta,5CIT,Scienze Motorie e Sportive,2024-01-21,5.2,pratico
Crespi,Damiano,3BIT,Matematica,2024-03-26,6.7,orale
Carfagna,Zaira,4BIT,Lingua Inglese,2024-05-15,3.1,pratico
Monte,Berenice,3BIT,Matematica,2023-11-19,4.5,pratico
Caffarelli,Luca,4BIT,Sistemi e Reti,2023-09-23,4.9,scritto
Petrocelli,Anita,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-01-27,9.4,scritto
Delle,Fulvio,5CIT,Lingua Inglese,2023-11-06,5.0,orale
Coardi,Franco,4BIT,Scienze Motorie e Sportive,2023-11-13,9.6,orale
Sgarbi,Fortunata,5CIT,Gestione Progetto e Organizzazione d'Impresa,2024-05-22,7.9,orale
Niscoromni,Ermes,4BIT,Informatica,2023-11-06,7.8,pratico
Stefanelli,Amadeo,4BIT,Sistemi e Reti,2024-03-25,6.3,scritto
Caffarelli,Luca,4BIT,Storia,2023-10-02,8.5,scritto
Bajardi,Arturo,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-02-24,7.9,orale
Tommaseo,Letizia,5CIT,Sistemi e Reti,2023-11-07,4.5,scritto
Gemito,Ludovico,3BIT,Sistemi e Reti,2024-01-07,5.4,pratico
Zabarella,Fedele,4BIT,Lingua e Letteratura Italiana,2023-10-09,9.0,scritto
Vianello,Ezio,4BIT,Storia,2024-02-17,5.2,scritto
Antonelli,Maura,3BIT,Lingua Inglese,2024-05-17,6.9,scritto
Bongiorno,Simone,3BIT,Lingua e Letteratura Italiana,2024-03-06,5.4,pratico
Carocci,Emma,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-09,9.8,scritto
Cafarchia,Alessandro,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-12-09,4.2,scritto
Forza,Hugo,3BIT,Storia,2024-04-09,5.5,orale
Crespi,Damiano,3BIT,Sistemi e Reti,2024-01-01,8.5,orale
Monte,Berenice,3BIT,Lingua e Letteratura Italiana,2024-03-19,8.8,scritto
Cimini,Tatiana,5CIT,Religione Cattolica,2023-11-17,3.0,pratico
Natta,Ludovico,5CIT,Storia,2024-02-22,4.2,orale
Simeoni,Mirco,4BIT,Storia,2024-02-09,5.1,scritto
Carfagna,Zaira,4BIT,Lingua e Letteratura Italiana,2023-12-31,5.7,scritto
Gemito,Ludovico,3BIT,Religione Cattolica,2024-02-26,4.2,orale
Monte,Berenice,3BIT,Storia,2023-12-20,3.7,orale
Esposito,Maurilio,3BIT,Sistemi e Reti,2024-01-30,7.8,orale
Carfagna,Zaira,4BIT,Gestione Progetto e Organizzazione d'Impresa,2023-09-22,5.6,scritto
Ceri,Augusto,4BIT,Storia,2024-05-07,9.2,pratico
Sgarbi,Fortunata,5CIT,Lingua Inglese,2023-12-09,8.7,orale
Satriani,Fulvio,4BIT,Lingua e Letteratura Italiana,2024-01-17,6.4,orale
Caffarelli,Luca,4BIT,Lingua Inglese,2024-02-23,4.9,scritto
Fantoni,Alphons,5CIT,Religione Cattolica,2023-09-21,3.2,scritto
Delle,Fulvio,5CIT,Sistemi e Reti,2023-11-30,8.9,pratico
Carocci,Emma,5CIT,Sistemi e Reti,2024-01-28,5.6,scritto
Pennetta,Griselda,5CIT,Sistemi e Reti,2024-02-02,4.4,orale
Fantoni,Alphons,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-07,4.3,pratico
Cipolla,Federica,3BIT,Matematica,2024-05-22,7.1,scritto
Bonaventura,Cecilia,4BIT,Storia,2023-11-13,8.6,pratico
Petrocelli,Anita,3BIT,Matematica,2024-06-06,6.0,pratico
Perini,Luigi,5CIT,Sistemi e Reti,2024-04-12,5.7,orale
Boito,Carla,5CIT,Lingua Inglese,2024-02-17,6.5,scritto
Gonzaga,Ettore,5CIT,Lingua Inglese,2024-04-21,3.4,scritto
Benedetti,Sophia,3BIT,Lingua e Letteratura Italiana,2024-04-07,6.7,pratico
Satriani,Fulvio,4BIT,Sistemi e Reti,2024-02-19,8.1,orale
Perini,Luigi,5CIT,Lingua Inglese,2024-02-19,8.7,scritto
Esposito,Maurilio,3BIT,Religione Cattolica,2023-09-16,7.4,scritto
Pavanello,Marta,5CIT,Lingua e Letteratura Italiana,2024-01-21,8.6,orale
Benedetti,Sophia,3BIT,Religione Cattolica,2023-09-27,8.8,scritto
Trentini,Matilda,4BIT,Lingua Inglese,2023-11-07,6.1,pratico
Tamburini,Gemma,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-02-15,4.5,scritto
Dossetti,Liberto,4BIT,Sistemi e Reti,2023-10-04,5.9,orale
Stefanelli,Amadeo,4BIT,Lingua Inglese,2024-04-15,9.3,pratico
Ceri,Augusto,4BIT,Scienze Motorie e Sportive,2023-11-11,4.0,pratico
Cipolla,Federica,3BIT,Lingua e Letteratura Italiana,2024-03-05,6.2,pratico
Campise,Liberto,3BIT,Scienze Motorie e Sportive,2024-01-11,3.6,pratico
Casini,Valentina,3BIT,Storia,2024-03-14,10.0,pratico
Nicoletti,Roberta,3BIT,Informatica,2023-09-28,8.0,scritto
Bajamonti,Tonino,3BIT,Informatica,2024-03-30,8.5,scritto
Lippomano,Alessandro,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-31,3.9,pratico
Peranda,Alina,3BIT,Lingua e Letteratura Italiana,2024-03-29,4.0,orale
Coardi,Franco,4BIT,Matematica,2023-12-15,5.4,pratico
Gonzaga,Ettore,5CIT,Religione Cattolica,2024-02-02,9.7,orale
Dossetti,Liberto,4BIT,Lingua Inglese,2024-01-01,7.3,scritto
Zabarella,Fedele,4BIT,Gestione Progetto e Organizzazione d'Impresa,2024-05-09,5.8,scritto
Montalcini,Niccolò,5CIT,Scienze Motorie e Sportive,2024-02-28,6.2,scritto
Forza,Hugo,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-02-27,6.3,pratico
Delle,Fulvio,5CIT,Religione Cattolica,2023-12-12,9.2,scritto
Fantoni,Alphons,5CIT,Storia,2024-06-06,4.3,pratico
Montalcini,Niccolò,5CIT,Scienze Motorie e Sportive,2023-10-07,8.5,scritto
Giorgetti,Alfredo,4BIT,Scienze Motorie e Sportive,2024-02-21,6.3,orale
Carocci,Emma,5CIT,Informatica,2024-03-10,5.8,pratico
Vianello,Ezio,4BIT,Sistemi e Reti,2024-04-12,7.3,scritto
Stefanelli,Amadeo,4BIT,Matematica,2023-09-27,7.2,pratico
Zaccardo,Sandro,5CIT,Gestione Progetto e Organizzazione d'Impresa,2023-10-20,3.3,orale
Perini,Luigi,5CIT,Lingua e Letteratura Italiana,2024-04-24,7.9,pratico
Valier,Carmelo,4BIT,Lingua Inglese,2023-12-03,7.6,orale
Vianello,Ezio,4BIT,Religione Cattolica,2024-01-10,7.5,orale
Schiavo,Amedeo,5CIT,Storia,2023-11-06,5.1,orale
Alfieri,Ivan,3BIT,Storia,2024-03-24,8.9,orale
Natta,Ludovico,5CIT,Lingua e Letteratura Italiana,2024-05-10,5.9,orale
Zacchia,Romina,4BIT,Informatica,2024-02-09,7.9,orale
Florio,Veronica,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-10-05,4.5,scritto
Simeoni,Mirco,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-16,4.0,pratico
Bonaventura,Cecilia,4BIT,Matematica,2024-02-12,9.1,orale
Marrone,Lisa,3BIT,Matematica,2024-05-21,9.1,scritto
Marrone,Lisa,3BIT,Matematica,2024-02-05,5.7,orale
Zaccardo,Sandro,5CIT,Religione Cattolica,2024-06-01,7.3,pratico
Gemito,Ludovico,3BIT,Informatica,2023-11-18,5.8,pratico
Natta,Ludovico,5CIT,Informatica,2023-11-16,7.4,scritto
Alighieri,Gabriele,5CIT,Religione Cattolica,2024-02-24,4.7,orale
Lippomano,Alessandro,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-01-05,8.5,orale
Pedrazzini,Atenulf,5CIT,Lingua Inglese,2024-03-10,7.1,orale
Balotelli,Roberto,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-01-19,5.8,scritto
Maderna,Laureano,5CIT,Scienze Motorie e Sportive,2024-05-31,5.0,scritto
Rubbia,Domenico,3BIT,Matematica,2023-10-14,4.5,pratico
Gianetti,Elisa,4BIT,Religione Cattolica,2023-12-11,6.0,scritto
Satriani,Fulvio,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-04-23,5.9,scritto
Nicoletti,Roberta,3BIT,Lingua e Letteratura Italiana,2024-01-05,7.6,scritto
Alighieri,Gabriele,5CIT,Informatica,2024-03-12,6.2,scritto
Boito,Carla,5CIT,Lingua Inglese,2024-03-23,9.7,pratico
Casini,Valentina,3BIT,Lingua Inglese,2024-05-15,7.3,orale
Staglieno,Pierluigi,5CIT,Sistemi e Reti,2024-03-06,5.0,pratico
Anichini,Marcella,5CIT,Informatica,2024-05-21,4.0,pratico
Balotelli,Roberto,4BIT,Lingua Inglese,2024-06-05,9.9,orale
Vianello,Ezio,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-10-07,3.4,scritto
Pennetta,Griselda,5CIT,Religione Cattolica,2024-02-26,6.1,scritto
Cimini,Tatiana,5CIT,Scienze Motorie e Sportive,2024-04-09,9.1,orale
Campise,Liberto,3BIT,Gestione Progetto e Organizzazione d'Impresa,2024-03-10,6.6,scritto
Forza,Hugo,3BIT,Lingua Inglese,2023-12-22,4.6,pratico
Casini,Valentina,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-05-15,9.0,orale
Blasi,Mirko,4BIT,Lingua Inglese,2024-03-19,4.5,orale
Benedetti,Sophia,3BIT,Matematica,2024-04-02,9.0,orale
Pontecorvo,Mirko,5CIT,Sistemi e Reti,2024-02-28,8.1,scritto
Petrocelli,Manuel,4BIT,Storia,2024-04-24,6.9,scritto
Monduzzi,Loredana,5CIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-31,3.3,orale
Casini,Valentina,3BIT,Sistemi e Reti,2023-11-27,3.6,scritto
Fantoni,Alphons,5CIT,Storia,2024-01-17,6.0,orale
Gemito,Ludovico,3BIT,Sistemi e Reti,2023-10-17,6.3,orale
Gonzaga,Ettore,5CIT,Scienze Motorie e Sportive,2024-05-22,3.9,orale
Tommaseo,Letizia,5CIT,Gestione Progetto e Organizzazione d'Impresa,2023-12-28,9.8,pratico
Campise,Liberto,3BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-03-07,6.4,pratico
Pezzali,Saverio,5CIT,Matematica,2024-03-10,9.6,scritto
Alighieri,Gabriele,5CIT,Gestione Progetto e Organizzazione d'Impresa,2024-06-02,7.6,scritto
Niscoromni,Ermes,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2024-04-07,5.0,pratico
Matteotti,Patrizia,3BIT,Informatica,2024-01-16,6.9,pratico
Pennetta,Griselda,5CIT,Lingua e Letteratura Italiana,2024-03-24,8.8,scritto
Gentilini,Lina,3BIT,Lingua e Letteratura Italiana,2023-10-23,7.9,scritto
Cafarchia,Alessandro,3BIT,Sistemi e Reti,2023-09-18,5.1,pratico
Saraceno,Corrado,3BIT,Religione Cattolica,2024-04-24,9.6,scritto
Seddio,Germana,3BIT,Scienze Motorie e Sportive,2024-01-18,8.1,orale
Taliani,Maurizio,4BIT,Tecnologie e Progettazione di Sistemi Informatici e di Telecomunicazioni,2023-11-14,6.4,pratico
Pontecorvo,Mirko,5CIT,Religione Cattolica,2024-03-09,6.2,orale
Monduzzi,Loredana,5CIT,Sistemi e Reti,2024-01-18,5.9,orale
Mezzetta,Marcello,4BIT,Gestione Progetto e Organizzazione d'Impresa,2023-11-24,9.5,pratico
